sr_pmid,primary_pmid,sr_title,primary_title,year_sr,year_primary,weight
18515968,8611872,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Randomised trial of safety and efficacy of immediate postoperative enteral feeding in patients undergoing gastrointestinal resection.,2008,1996.0,1.0
18515968,8200238,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Must early postoperative oral intake be limited to laparoscopy?,2008,1994.0,1.0
18515968,15951932,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Patient-controlled dietary schedule improves clinical outcome after gastrectomy for gastric cancer.,2008,2005.0,1.0
18515968,12181715,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Enteral nutrition in surgical patients.,2008,2002.0,1.0
18515968,11766084,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Beneficial effects of immediate enteral nutrition after esophageal cancer surgery.,2008,2001.0,1.0
18515968,15739210,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2008,2005.0,1.0
18515968,10072611,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Effect of early postoperative enteral feeding on the healing of colonic anastomoses in rats. Comparison of three different enteral diets.,2008,1999.0,1.0
18515968,8831539,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Laparoscopic resection for diverticular disease.,2008,1996.0,1.0
18515968,9161395,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early postoperative feeding after elective colorectal surgery.,2008,1997.0,1.0
18515968,11254464,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative oral carbohydrate treatment attenuates immediate postoperative insulin resistance.,2008,2001.0,1.0
18515968,14760661,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Randomized clinical trial comparing an oral carbohydrate beverage with placebo before laparoscopic cholecystectomy.,2008,2004.0,1.0
18515968,8526579,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative gastric emptying. Effects of anxiety and oral carbohydrate administration.,2008,1995.0,1.0
18515968,15532842,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Accelerated rehabilitation with early postoperative oral feeding following gastrectomy.,2008,2004.0,1.0
18515968,8956766,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Gut function and immune and inflammatory responses in patients perioperatively fed with supplemented enteral formulas.,2008,1996.0,1.0
18515968,8811376,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Is early postoperative feeding feasible in elective colon and rectal surgery?,2008,1996.0,1.0
18515968,12631049,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",2008,2003.0,1.0
18515968,9339943,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Immediate postoperative enteral feeding results in impaired respiratory mechanics and decreased mobility.,2008,1997.0,1.0
18515968,12414028,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Intravenous hydration versus naso-jejunal enteral feeding after esophagectomy: a randomised study.,2008,2002.0,1.0
18515968,9225337,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early enteral nutrition in gastrointestinal surgery: a pilot study.,2008,1997.0,1.0
18515968,3140744,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Immune and metabolic effects of arginine in the surgical patient.,2008,1988.0,1.0
18515968,15979768,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"Effect of ""preoperative"" oral carbohydrate treatment on insulin action--a randomised cross-over unblinded study in healthy subjects.",2008,2005.0,1.0
18515968,14648727,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Randomized clinical trial of multimodal optimization and standard perioperative surgical care.,2008,2003.0,1.0
18515968,6774170,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Immediate postoperative enteral nutrition with a nonelemental diet.,2008,1980.0,1.0
18515968,9494004,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early feeding after elective open colorectal resections: a prospective randomized trial.,2008,1998.0,1.0
18515968,7536138,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early postoperative enteral nutrition with arginine-omega-3 fatty acids and ribonucleic acid-supplemented diet versus placebo in cancer patients: an immunologic evaluation of Impact.,2008,1995.0,1.0
18515968,7736880,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Role of laparoscopy in colorectal surgery. A prospective evaluation of 200 cases.,2008,1995.0,1.0
18515968,8924741,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Benefits of early postoperative enteral feeding in cancer patients.,2008,1995.0,1.0
18515968,16688845,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early removing gastrointestinal decompression and early oral feeding improve patients' rehabilitation after colorectostomy.,2008,2006.0,1.0
18515968,8951516,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early postoperative feeding after elective colorectal surgery is not a benefit unique to laparoscopy-assisted procedures.,2008,1996.0,1.0
18515968,10192730,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Complications associated with enteral nutrition using catheter jejunostomy after esophagectomy.,2008,1999.0,1.0
18515968,10459075,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative oral carbohydrates and postoperative insulin resistance.,2008,1999.0,1.0
20591343,15739210,Pathophysiology and clinical implications of peroperative fluid management in elective surgery.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2010,2005.0,1.0
20591343,16919107,Pathophysiology and clinical implications of peroperative fluid management in elective surgery.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2010,2006.0,1.0
20977587,16919107,Hospital discharge criteria following colorectal surgery: a systematic review.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2012,2006.0,1.001908
21236454,16919107,Enhanced recovery pathways optimize health outcomes and resource utilization: a meta-analysis of randomized controlled trials in colorectal surgery.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2011,2006.0,1.00727
21328298,16919107,Fast track surgery versus conventional recovery strategies for colorectal surgery.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2011,2006.0,1.00983
21780051,15739210,"Perioperative management and ""Fast-Track"" therapy in vascular medicine.",Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2011,2005.0,1.0
21929667,15739210,A systematic review of interventions to facilitate ambulatory laparoscopic cholecystectomy.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2011,2005.0,1.007177
22581289,15681099,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2012,2005.0,1.038095
22581289,16919107,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2012,2006.0,1.034694
22581289,15739210,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2012,2005.0,1.03271
22581289,19363695,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,"Preoperative fasting of 2 hours minimizes insulin resistance and organic response to trauma after video-cholecystectomy: a randomized, controlled, clinical trial.",2012,2009.0,1.030303
22581289,20205227,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,Randomized controlled trial of preoperative oral carbohydrate treatment in major abdominal surgery.,2012,2010.0,1.022727
22581289,20177856,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,The impact and safety of preoperative oral or intravenous carbohydrate administration versus fasting in colorectal surgery--a randomized controlled trial.,2012,2010.0,1.020661
22581289,12631049,Preoperative carbohydrate loading for elective surgery: a systematic review and meta-analysis.,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",2012,2003.0,1.018325
23200124,20101593,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Randomized clinical trial to compare the effects of preoperative oral carbohydrate versus placebo on insulin resistance after colorectal surgery.,2013,2010.0,1.055363
23200124,15739210,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2013,2005.0,1.054755
23200124,11682427,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,A carbohydrate-rich drink reduces preoperative discomfort in elective surgery patients.,2013,2001.0,1.048682
23200124,18096368,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Effects of preoperative carbohydrate loading on glucose metabolism and gastric contents in patients undergoing moderate surgery: a randomized, controlled trial.",2013,2008.0,1.041825
23200124,10205319,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative oral carbohydrate administration reduces postoperative insulin resistance.,2013,1998.0,1.040155
23200124,16919107,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2013,2006.0,1.037179
23200124,17056939,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative oral carbohydrate administration to ASA III-IV patients undergoing elective cardiac surgery.,2013,2006.0,1.036207
23200124,19363695,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Preoperative fasting of 2 hours minimizes insulin resistance and organic response to trauma after video-cholecystectomy: a randomized, controlled, clinical trial.",2013,2009.0,1.036101
23200124,17902094,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Randomized clinical trial of the effect of preoperative oral carbohydrate treatment on postoperative whole-body protein and glucose kinetics.,2013,2007.0,1.034161
23200124,20177856,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,The impact and safety of preoperative oral or intravenous carbohydrate administration versus fasting in colorectal surgery--a randomized controlled trial.,2013,2010.0,1.031955
23200124,11254464,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative oral carbohydrate treatment attenuates immediate postoperative insulin resistance.,2013,2001.0,1.031746
23200124,20205227,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Randomized controlled trial of preoperative oral carbohydrate treatment in major abdominal surgery.,2013,2010.0,1.030576
23200124,15681099,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2013,2005.0,1.030471
23200124,12631049,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",2013,2003.0,1.028274
23200124,19500889,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Gastric emptying of three liquid oral preoperative metabolic preconditioning regimens measured by magnetic resonance imaging in healthy adult volunteers: a randomised double-blind, crossover study.",2013,2009.0,1.027881
23200124,8526579,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative gastric emptying. Effects of anxiety and oral carbohydrate administration.,2013,1995.0,1.025956
23200124,22235107,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Evaluation of the effects of a preoperative 2-hour fast with maltodextrine and glutamine on insulin resistance, acute-phase response, nitrogen balance, and serum glutathione after laparoscopic cholecystectomy: a controlled randomized trial.",2013,2012.0,1.025692
23200124,21668975,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Effects of preoperative feeding with a whey protein plus carbohydrate drink on the acute phase response and insulin resistance. A randomized trial.,2013,2011.0,1.024345
23200124,14760661,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Randomized clinical trial comparing an oral carbohydrate beverage with placebo before laparoscopic cholecystectomy.,2013,2004.0,1.02305
23200124,15979768,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Effect of ""preoperative"" oral carbohydrate treatment on insulin action--a randomised cross-over unblinded study in healthy subjects.",2013,2005.0,1.020147
23200124,10459075,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative oral carbohydrates and postoperative insulin resistance.,2013,1999.0,1.018939
23200124,15297112,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative oral carbohydrate treatment attenuates endogenous glucose release 3 days after surgery.,2013,2004.0,1.018051
23200124,18477073,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Pre-operative oral carbohydrate treatment before coronary artery bypass surgery.,2013,2008.0,1.016736
23200124,16387895,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"A carbohydrate-rich beverage prior to surgery prevents surgery-induced immunodepression: a randomized, controlled, clinical trial.",2013,2006.0,1.016
23200124,20971535,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,A randomized crossover study of the effects of glutamine and lipid on the gastric emptying time of a preoperative carbohydrate drink.,2013,2011.0,1.015982
23200124,17454835,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Insulin resistance after cardiopulmonary bypass in the elderly patient.,2013,2007.0,1.015152
23200124,21242424,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Adherence to the enhanced recovery after surgery protocol and outcomes after colorectal cancer surgery.,2013,2011.0,1.015075
23200124,8936492,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"The effect of preoperative carbohydrate loading on hormonal changes, hepatic glycogen, and glucoregulatory enzymes during abdominal surgery.",2013,1996.0,1.012766
23200124,20622656,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Cellular mechanisms underlying the protective effects of preoperative feeding: a randomized study investigating muscle and liver glycogen content, mitochondrial function, gene and protein expression.",2013,2010.0,1.012448
23200124,19399583,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Preoperative oral supplementation with carbohydrate and branched-chain amino acid-enriched nutrient improves insulin resistance in patients undergoing a hepatectomy: a randomized clinical trial using an artificial pancreas.,2013,2010.0,1.008696
23200124,19594087,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Effects of oral preoperative carbohydrate on early postoperative outcome after thyroidectomy.,2013,2009.0,1.008511
23200124,21255977,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,"Gastric emptying, glucose metabolism and gut hormones: evaluation of a common preoperative carbohydrate beverage.",2013,2011.0,1.006881
23200124,19092350,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Anticatabolic effects of avoiding preoperative fasting by intravenous hypocaloric nutrition: a randomized clinical trial.,2013,2008.0,1.006356
23200124,21126861,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,A randomized cross-over study of the metabolic and hormonal responses following two preoperative conditioning drinks.,2013,2011.0,1.004587
23200124,19448380,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,A carbohydrate-rich drink shortly before surgery affected IGF-I bioavailability after a total hip replacement. A double-blind placebo controlled study on 29 patients.,2013,2009.0,1.004545
23200124,20177860,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Effect of preoperative feeding on gastric emptying following spinal anesthesia: a randomized controlled trial.,2013,2010.0,1.002294
23200124,20852905,A meta-analysis of randomised controlled trials on preoperative oral carbohydrate treatment in elective surgery.,Oral supplementation with carbohydrate- and branched-chain amino acid-enriched nutrients improves postoperative quality of life in patients undergoing hepatic resection.,2013,2011.0,1.002008
23786567,16919107,Facilitating early recovery of bowel motility after colorectal surgery: a systematic review.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2014,2006.0,1.0
24253135,15681099,Enhanced recovery for esophagectomy: a systematic review and evidence-based guidelines.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2014,2005.0,1.001385
24253135,15739210,Enhanced recovery for esophagectomy: a systematic review and evidence-based guidelines.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2014,2005.0,1.0
24253135,16919107,Enhanced recovery for esophagectomy: a systematic review and evidence-based guidelines.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2014,2006.0,1.0
24337792,15681099,Fast-track surgery in gastrectomy for gastric cancer: a systematic review and meta-analysis.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2014,2005.0,1.0
24368573,16919107,Enhanced recovery program in colorectal surgery: a meta-analysis of randomized controlled trials.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2014,2006.0,1.004902
24417824,16919107,Role of preoperative carbohydrate loading: a systematic review.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2014,2006.0,1.039157
24417824,20177856,Role of preoperative carbohydrate loading: a systematic review.,The impact and safety of preoperative oral or intravenous carbohydrate administration versus fasting in colorectal surgery--a randomized controlled trial.,2014,2010.0,1.038835
24417824,20205227,Role of preoperative carbohydrate loading: a systematic review.,Randomized controlled trial of preoperative oral carbohydrate treatment in major abdominal surgery.,2014,2010.0,1.024664
24417824,15681099,Role of preoperative carbohydrate loading: a systematic review.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2014,2005.0,1.022727
24417824,15739210,Role of preoperative carbohydrate loading: a systematic review.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2014,2005.0,1.019231
24417824,12631049,Role of preoperative carbohydrate loading: a systematic review.,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",2014,2003.0,1.015789
24417824,19363695,Role of preoperative carbohydrate loading: a systematic review.,"Preoperative fasting of 2 hours minimizes insulin resistance and organic response to trauma after video-cholecystectomy: a randomized, controlled, clinical trial.",2014,2009.0,1.015284
25121931,15739210,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,2014,2005.0,1.042373
25121931,15681099,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2014,2005.0,1.037349
25121931,20205227,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,Randomized controlled trial of preoperative oral carbohydrate treatment in major abdominal surgery.,2014,2010.0,1.031157
25121931,16919107,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2014,2006.0,1.02967
25121931,23547623,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,Oral carbohydrate supplementation reduces preoperative discomfort in laparoscopic cholecystectomy.,2014,2013.0,1.027211
25121931,19363695,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,"Preoperative fasting of 2 hours minimizes insulin resistance and organic response to trauma after video-cholecystectomy: a randomized, controlled, clinical trial.",2014,2009.0,1.026316
25121931,20177856,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,The impact and safety of preoperative oral or intravenous carbohydrate administration versus fasting in colorectal surgery--a randomized controlled trial.,2014,2010.0,1.016418
25121931,12631049,Preoperative carbohydrate treatment for enhancing recovery after elective surgery.,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",2014,2003.0,1.016049
